600 0.00128 0.00059 0.00099 0.00051
620 0.00194 0.00048 0.00147 0.00013
630 0.00343 0.00139 0.00176 0.00090
640 0.00176 0.00000 0.00132 0.00000
650 0.00522 0.00122 0.00379 0.00095
660 0.00369 0.00099 0.00294 0.00083
680 nan nan nan nan
700 0.01435 0.00672 0.00977 0.00330
705 0.01424 0.00403 0.00913 0.00192
710 0.01578 0.00790 0.00704 0.00596
715 0.05942 0.00957 0.00314 0.00204
720 0.02654 0.01316 0.01345 0.00420
725 0.06608 0.00039 0.00600 0.00281
730 0.06345 0.01205 0.00546 0.00148
735 0.05788 0.00000 0.00352 0.00000
740 nan nan nan nan
750 0.12306 0.01580 0.00205 0.00217
770 0.10312 0.03652 0.00623 0.00794
790 0.23677 0.04377 0.00088 0.00047
805 0.29280 0.03352 0.00092 0.00055
810 0.36371 0.02154 0.00057 0.00021
815 0.32971 0.03402 0.00055 0.00016
830 0.42733 0.04317 0.00090 0.00104
850 nan nan nan nan
860 0.75495 0.00000 0.00000 0.00000
870 0.78323 0.00000 0.00011 0.00000
880 0.90680 0.02544 0.00000 0.00000
890 0.97553 0.00650 0.00000 0.00000
900 0.98933 0.00275 0.00000 0.00000
