550 0.00114 0.00045 0.00058 0.00043 3.699 1.096 0.000
570 0.00144 0.00125 0.00044 0.00044 3.983 2.681 0.000
590 0.00119 0.00053 0.00047 0.00021 3.810 1.338 0.000
610 0.00072 0.00044 0.00031 0.00031 2.575 1.273 0.000
630 0.00142 0.00037 0.00089 0.00027 4.758 0.738 0.000
650 0.00414 0.00109 0.00189 0.00171 8.632 0.791 0.000
670 0.00825 0.00371 0.00328 0.00066 11.213 2.604 0.000
690 0.00522 0.00242 0.00253 0.00120 9.631 3.563 0.000
710 0.01286 0.00604 0.00731 0.00427 14.832 4.416 0.000
730 0.01203 0.00397 0.00725 0.00189 16.087 2.962 0.000
750 0.01344 0.00707 0.00486 0.00150 14.851 3.558 0.000
770 0.04619 0.01812 0.01181 0.00479 27.342 5.848 0.000
790 0.02992 0.00747 0.02197 0.00888 25.757 4.048 0.000
810 0.12667 0.03435 0.05119 0.02763 57.299 12.726 0.000
830 0.11933 0.02690 0.04244 0.00877 49.516 9.579 0.000
850 0.29089 0.03943 0.01797 0.01225 77.662 8.009 0.000
870 0.31347 0.04888 0.01608 0.00848 70.626 6.660 0.000
890 0.49272 0.04715 0.00258 0.00173 84.599 2.007 0.000
910 0.53392 0.05730 0.00150 0.00109 87.383 2.310 0.000
930 0.62094 0.10177 0.00106 0.00061 84.677 2.194 0.000
950 0.82394 0.03856 0.00061 0.00014 87.933 1.711 0.000
970 0.90294 0.02055 0.00036 0.00031 89.521 0.428 0.000
990 0.95225 0.01270 0.00006 0.00007 89.638 0.247 0.000
1010 0.96717 0.01120 0.00011 0.00022 89.741 0.090 0.000
1030 0.97358 0.00758 0.00000 0.00000 89.751 0.044 0.000
1050 0.97819 0.00602 0.00000 0.00000 89.715 0.169 0.000
1070 0.98389 0.00517 0.00003 0.00006 89.721 0.107 0.000
1090 0.98892 0.00114 0.00000 0.00000 89.624 0.064 0.000
1110 0.98936 0.00688 0.00003 0.00006 89.634 0.115 0.000
1130 0.99259 0.00243 0.00000 0.00000 89.605 0.046 0.000
