240 0.00007 0.00001 0.00005 0.00001 0.902 0.101 0.000
260 0.00011 0.00003 0.00008 0.00003 1.159 0.162 0.000
280 0.00017 0.00007 0.00013 0.00004 1.529 0.380 0.000
300 0.00017 0.00005 0.00014 0.00005 1.387 0.221 0.000
320 0.00023 0.00004 0.00018 0.00003 1.899 0.335 0.000
340 0.00044 0.00013 0.00032 0.00011 2.257 0.566 0.000
360 0.00079 0.00031 0.00059 0.00018 2.777 0.453 0.000
380 0.00165 0.00061 0.00095 0.00025 4.203 0.624 0.000
400 0.00393 0.00138 0.00249 0.00030 5.826 0.799 0.000
410 0.00709 0.00128 0.00541 0.00137 8.418 1.778 0.000
420 0.02021 0.00766 0.00787 0.00272 14.049 5.007 0.200
430 0.09601 0.00671 0.00285 0.00155 21.700 1.524 1.000
440 0.13018 0.00765 0.00307 0.00143 20.719 1.137 1.000
450 0.21821 0.01693 0.00046 0.00033 18.852 0.373 0.800
460 0.30750 0.00702 0.00020 0.00010 18.745 0.350 0.600
470 0.40026 0.03314 0.00009 0.00004 18.704 0.162 0.800
480 0.54191 0.01105 0.00009 0.00005 18.509 0.175 0.600
485 0.62761 0.02248 0.00006 0.00003 18.365 0.074 0.000
490 0.71142 0.02010 0.00004 0.00001 18.418 0.186 0.400
495 0.78685 0.01810 0.00004 0.00002 18.372 0.114 0.400
500 0.84665 0.01350 0.00003 0.00002 18.484 0.121 0.400
505 0.91582 0.00319 0.00001 0.00001 18.448 0.054 0.400
510 0.94674 0.00244 0.00001 0.00001 18.476 0.018 1.000
515 0.96950 0.00247 0.00000 0.00001 18.473 0.014 1.000
520 0.98534 0.00058 0.00000 0.00000 18.455 0.005 0.800
525 0.99026 0.00139 0.00000 0.00000 18.463 0.008 1.000
530 0.99383 0.00038 0.00000 0.00000 18.464 0.004 1.000
