# Cluster list (22 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 315 23.1017959032 312.6399644332 212.1331577276 8.9198517914 44.8578924725 12.1504433409 -34.8909127456 
2 240 22.1831843147 120.3493140282 365.8609975355 5.883354776 -78.3954633383 5.0898694287 -16.4588196643 
3 219 19.2959433487 172.0093386572 191.1625577273 9.1615333333 12.8770341649 -21.6120181735 -29.5290282261 
4 194 22.0071894731 172.6059678754 298.7927496205 12.9176710091 42.2043861172 -1.3681967121 -37.5665517433 
5 17 5.7911837823 10.0549738707 21.6978973218 1.7849384083 -3.7834077965 -2.2143928616 5.3364793426 
6 14 5.8521131848 21.8975918827 9.4785021507 2.8711346939 -1.3287579985 5.328255102 -4.0028432653 
7 10 3.666914215 6.64093401 6.37367685 0.431649 1.32491635 0.1710463 -1.3190735 
8 9 3.9645428602 10.1674284444 4.6291099178 0.9210617284 1.4810415333 -2.6354351852 -1.3616365556 
9 7 2.9300638465 1.3446084082 6.9796534914 0.2610122449 -0.4406573429 0.0351740816 -1.2531492857 
10 6 3.4487059683 5.2328852222 5.6985070781 0.9621805556 2.9218327278 -1.8431688889 -1.7683053611 
11 6 3.7160096916 3.4469695833 10.1101112222 0.2516472222 2.9403928333 -0.5753008333 0.3880761111 
12 5 2.1239591376 1.128997644 3.2543087744 0.127896 -0.301550928 0.3004388 -0.37038448 
13 2 1.3106446887 0.81631225 0.76825225 0.133225 0.79191775 0.3297775 0.3199225 
14 2 1.2441005787 0.16687225 1.247689 0.133225 -0.4562945 -0.1491025 0.407705 
15 2 1.3175420297 0.470596 1.132096 0.133225 0.729904 -0.25039 -0.38836 
16 2 1.387025116 0.0888934225 1.70172025 0.133225 0.388936675 -0.10882475 -0.4761425 
17 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
18 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
19 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
20 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
21 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
22 1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
