240 26.100767 0.001278 1.000000 0.000000 70130.4 9.200000 70130.400 9.200000
260 26.104602 0.004698 1.000000 0.000000 70030.2 22.067170 70030.200 22.067170
280 26.103700 0.003049 1.000000 0.000000 69882.8 43.577058 69882.800 43.577058
300 26.095394 0.003271 1.000000 0.000000 69651.4 37.016753 69651.400 37.016753
320 26.102007 0.006343 1.000000 0.000000 69105.0 163.774235 69105.000 163.774235
340 26.092508 0.006668 1.000000 0.000000 68249.6 194.423867 68249.600 194.423867
360 26.080743 0.006462 1.000000 0.000000 66973.2 647.639221 66973.200 647.639221
380 26.110873 0.038387 0.999991 0.000012 64015.8 631.466040 49156.833 18827.092089
400 26.090168 0.054794 0.999959 0.000019 59370.2 1768.913723 20317.373 6064.054853
420 26.081841 0.142794 0.999536 0.000268 51295.2 3203.287898 3260.864 1409.438717
440 26.401405 0.147731 0.995954 0.001754 38912.2 3513.282590 359.731 136.055946
460 26.575411 0.505780 0.957610 0.018542 19526.6 3231.375162 37.346 11.004143
480 7.813744 1.024489 0.208279 0.035049 2262.0 401.939299 3.156 0.649921
500 0.203439 0.091805 0.019004 0.002465 115.4 9.046546 1.014 0.006044
