# Cluster list (594 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 4648 19.455490745 138.1087426541 133.0954937785 107.311883695 0.9192220946 36.9877526927 60.5334334689 
2 372 7.0615504222 10.0623078198 11.882124527 27.921062019 5.9677354332 -1.1068405613 4.820701817 
3 253 5.9738447934 8.7887618265 13.2265778475 13.6714819415 6.6194980379 4.3981940777 2.8951310625 
4 57 2.4639109299 3.4327229703 1.5042636681 1.1338704323 -0.3542072491 -0.1623952212 0.4093840426 
5 32 2.1580002191 2.2030814037 0.9974023325 1.4564812095 0.0689983467 1.1475839573 -0.2322100185 
6 29 1.893385141 0.6178275197 1.6239520038 1.3431277686 0.5022924289 -0.0561706678 -0.6118721496 
7 27 2.0494393555 0.5558944916 1.1046841744 2.5396230061 0.1661503371 -0.1483328027 -1.1722528001 
8 27 2.2065628755 1.5899377357 1.0358040759 2.243177912 0.6134139522 -1.2392756546 -0.9998188673 
9 25 1.8366009133 1.0201695517 1.4715306143 0.8814027489 0.6618728417 0.0167626569 -0.314119053 
10 24 1.5950641926 0.3486965812 1.3026769296 0.8928562676 0.0797869162 0.2925059483 0.075910881 
11 24 1.9618101362 1.553615634 0.6066499838 1.6884333925 -0.496433877 -0.9644212616 0.3866222443 
12 23 1.6193387472 0.8364614504 0.6809004072 1.1048961205 0.4338458732 0.1180377719 0.128733311 
13 22 2.0746413479 1.2414541824 1.7368258831 1.325856657 0.6106177192 -0.1600493072 -0.6689080843 
14 21 2.3656441263 1.7452190285 0.8644878799 2.9865652239 0.5754622861 1.6706253331 0.0787981551 
15 20 2.0969891572 0.5807370862 1.7644244475 2.0522019915 0.0500417064 0.4113321981 -1.0713440377 
16 19 1.864362726 2.3545104046 0.6856368173 0.4357011521 -0.5789899422 0.6638772366 -0.2129897129 
17 17 1.6764622873 0.7846543597 1.6247037622 0.4011676789 -0.6088864056 -0.2634959588 0.2247381082 
18 17 2.7110379203 0.5919606435 4.5938012381 2.1639647235 -0.5274748226 -0.2741045169 2.8740687323 
19 17 1.3920915007 0.4139912834 0.3608573201 1.163070143 -0.1206953454 -0.2806944698 0.3954923798 
20 16 1.7421013886 0.9514774773 1.1403030594 0.9431367113 0.6600968004 -0.32342511 0.2668811147 
21 16 1.5000834599 0.4542958887 0.5684512648 1.2275032331 0.2700580104 0.1821336717 0.5372420884 
22 15 1.6279622491 0.969673522 0.6344928829 1.0460946796 -0.3605014606 0.3246130497 -0.3026271633 
23 14 1.6230218229 0.6139324331 0.7352068994 1.2850605049 0.1308616365 0.5170921109 -0.0256974717 
24 12 1.4942328725 0.6336555691 0.3772229519 1.2218533564 -0.3173809373 0.3506980674 -0.4582592746 
25 12 1.317046507 0.2499352474 0.8063431341 0.67833312 0.1014265505 -0.0028876283 0.2170952417 
26 11 1.5980359714 0.3984430499 1.5194563929 0.635819523 0.5746750761 -0.1634948409 -0.3977242659 
27 11 1.5559700313 0.9953800018 0.8381060873 0.5875566491 0.5118076518 0.4002378855 0.5775991055 
28 11 1.6847516532 2.2720095917 0.1576097358 0.4087688055 0.2816945957 -0.4134801191 -0.0311544765 
29 10 1.5259138302 0.5208604176 0.8097814881 0.9977711116 -0.3898882528 0.3738769824 -0.4608549536 
30 9 1.4602632065 0.5397160356 1.313086963 0.2795656336 0.6517729946 0.1968898441 0.3925951323 
