600 0.00014 0.00005 0.00003 0.00005
640 0.00028 0.00017 0.00006 0.00006
660 0.00044 0.00014 0.00035 0.00018
680 0.00088 0.00042 0.00026 0.00020
700 0.00090 0.00023 0.00073 0.00016
720 0.00099 0.00020 0.00062 0.00023
740 0.00068 0.00022 0.00046 0.00016
760 0.00156 0.00057 0.00130 0.00056
775 nan nan nan nan
780 0.00484 0.00011 0.00286 0.00110
795 0.00480 0.00177 0.00189 0.00073
800 0.00614 0.00403 0.00207 0.00068
815 0.00544 0.00264 0.00264 0.00092
820 0.00665 0.00171 0.00493 0.00198
830 nan nan nan nan
835 0.00863 0.00169 0.00526 0.00213
840 0.01254 0.00472 0.00671 0.00243
850 0.01673 0.00547 0.00867 0.00505
855 0.02214 0.00647 0.00988 0.00290
860 0.01866 0.00772 0.00949 0.00518
870 0.07808 0.02662 0.00544 0.00498
875 0.12181 0.02773 0.00257 0.00141
880 0.11646 0.01464 0.00189 0.00051
890 0.18915 0.02458 0.00097 0.00016
895 0.13900 0.01225 0.00295 0.00198
900 0.16888 0.01708 0.00209 0.00211
910 0.22566 0.04014 0.00114 0.00055
915 0.35304 0.04634 0.00037 0.00011
920 0.26173 0.01059 0.00110 0.00084
930 0.38233 0.05278 0.00048 0.00016
935 0.47711 0.03447 0.00037 0.00018
940 0.53695 0.07870 0.00024 0.00018
950 0.76607 0.02437 0.00000 0.00000
955 0.78950 0.03344 0.00004 0.00009
960 0.87064 0.03411 0.00004 0.00005
975 0.93739 0.00345 0.00000 0.00000
