# Cluster list (185 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 322 22.9414944445 346.7888247076 175.1707486177 4.3525940213 149.4877502822 20.7598698143 10.9117001965 
2 247 23.3799090768 392.7800941068 143.8015596437 10.0384946877 159.2617319367 42.4530093222 28.0277325578 
3 219 20.2751331531 257.2422574195 146.8242780664 7.0144888889 -136.5340494201 26.72118 -25.1563130604 
4 148 13.0597656036 95.054132699 70.8953802258 4.6079646959 -23.6740672916 -13.2965403615 15.1544436318 
5 95 10.6255669554 52.3941057602 58.4256221674 2.0829451967 14.3888679919 -9.3156582859 -5.2838221937 
6 13 5.906007603 12.200729199 21.7405267849 0.9396698225 13.6143571292 1.5992389905 3.1624990888 
7 10 3.4906425924 6.5160897113 5.1942149969 0.474281 1.2723881073 -1.184345722 -1.18740997 
8 8 3.0365045977 1.6560809375 7.3311354844 0.23314375 0.0808396563 -0.173146875 -0.8206796875 
9 5 2.7892260575 5.26300024 2.21835776 0.298424 -1.19879708 1.0163644 -0.6226608 
10 5 3.6418165028 9.05578384 3.6528276 0.554216 -5.7103776 -1.8753992 1.119382 
11 5 3.0524438768 7.8550873304 1.2491662904 0.21316 -1.9832713156 0.9759662 -0.0461652 
12 4 2.3549914941 1.4516001875 3.994466 0.09991875 -1.2743305 -0.326720625 0.31536 
13 4 2.6741038263 4.9892925669 1.7951699569 0.36636875 1.5529058956 1.2166408125 0.6801729375 
14 3 2.0961748289 2.0458642222 2.2296624689 0.1184222222 1.0501370778 -0.4914522222 -0.2771647778 
15 3 1.5392211479 1.1170726667 1.2521290756 0.0 -0.0285876667 0.0 0.0 
16 3 2.0380683562 1.7058035556 2.3294968467 0.1184222222 1.6751446 -0.1132311111 0.164323 
17 3 2.3012667096 4.3389911356 0.6015706667 0.3552666667 -0.2924003333 -1.2157176667 0.1742266667 
