T	sigma	sigma_std	fp	fp_std	p	p_std	Sm	Sm_std
230	0.00000	0.00000	0.20000	0.40000	0.20000	0.40000	0.20000	0.40000
240	0.73783	0.90627	0.40000	0.48990	0.80000	0.97980	0.80000	0.97980
250	0.74134	0.91048	0.40000	0.48990	0.80000	0.97980	0.80000	0.97980
270	0.38332	0.76664	0.40000	0.48990	0.60000	0.80000	0.60000	0.80000
290	0.74910	0.91754	0.40000	0.48990	0.80000	0.97980	0.80000	0.97980
300	0.33769	0.67538	0.60000	0.48990	0.80000	0.74833	0.80000	0.74833
400	0.40079	0.80158	0.60000	0.48990	0.80000	0.74833	0.80000	0.74833
410	0.54169	0.80470	0.40000	0.44495	0.70000	0.84721	0.70000	0.84721
420	0.74043	0.90822	0.40000	0.48990	0.80000	0.97980	0.80000	0.97980
430	0.38450	0.76901	0.60000	0.48990	0.80000	0.74833	0.80000	0.74833
440	0.39684	0.79369	0.20000	0.40000	0.40000	0.80000	0.40000	0.80000
450	0.48802	0.97604	0.50000	0.48990	0.80000	0.95726	0.80000	0.95726
460	0.67658	1.35316	0.10000	0.20000	1.60000	3.20000	0.32000	0.64000
470	0.72531	1.02579	0.27500	0.41795	1.10000	1.74919	0.56650	0.78119
490	1.10728	2.21456	0.16000	0.32000	2.00000	4.00000	1.00000	2.00000
500	1.11764	1.37073	0.31429	0.40808	2.00000	2.75681	1.30000	1.60000
510	1.81685	2.27164	0.36548	0.37696	3.40000	4.25347	1.76650	2.16439
520	0.72349	1.44698	0.26667	0.41082	1.70000	3.15796	1.10000	1.96619
530	3.67144	3.32856	0.52786	0.42298	6.80000	6.23276	3.60000	3.28037
540	2.66180	2.07717	0.47667	0.32150	4.90000	3.95862	2.52650	2.60465
550	2.62590	1.31663	0.41922	0.27310	7.26667	4.00444	2.76333	1.62480
560	3.12123	1.86966	0.70264	0.32429	7.06667	4.66417	3.49667	1.77349
570	5.90048	4.22668	0.62955	0.21882	15.73333	13.07556	5.10567	4.05334
580	5.23461	2.95116	0.54540	0.15412	18.86667	10.70520	5.31933	2.88354
590	4.73355	2.75671	0.54411	0.21905	16.73333	13.54204	3.78500	2.10179
600	6.12784	3.09077	0.49971	0.25409	22.93333	9.41323	8.22867	6.49882
610	4.34697	1.97947	0.64778	0.17247	13.46667	7.27432	3.72633	1.42410
620	7.23395	3.78356	0.56904	0.26945	25.26667	18.02236	7.87833	5.55036
630	7.41421	1.88467	0.38799	0.09706	39.80000	16.03490	6.96233	2.19389
640	9.25958	4.04288	0.47718	0.19469	46.93333	23.60271	8.23767	3.61955
650	8.96287	2.73893	0.44059	0.21183	49.26667	15.00710	9.41867	6.20419
660	10.79291	3.28835	0.35439	0.07639	82.66667	42.26402	8.65133	3.06215
670	14.11961	4.67179	0.42013	0.13863	121.53333	34.59952	12.30933	5.69825
680	14.98676	8.56185	0.41295	0.14769	129.00000	69.10020	11.81467	5.31138
690	15.91814	7.93574	0.49709	0.18165	116.26667	55.38283	13.06300	6.07098
700	19.79890	5.99807	0.44343	0.14350	197.00000	71.60263	17.49100	8.08339
710	19.59778	5.21151	0.34516	0.08454	253.93333	94.78809	13.53100	4.31171
720	21.18238	5.03146	0.40928	0.15032	227.66667	53.40137	16.68100	4.16180
730	20.12735	6.92929	0.39608	0.16962	237.60000	48.84615	16.03233	7.83368
740	18.68129	4.50775	0.33620	0.13153	273.46667	84.11142	15.63867	4.83345
750	20.48845	6.55186	0.33225	0.13345	312.80000	110.81162	15.83467	6.14478
760	19.20634	3.28839	0.36299	0.07348	290.26667	102.59945	14.69533	4.90410
770	34.71751	16.83420	0.43285	0.14861	578.00000	227.85025	26.34733	9.79168
780	37.28600	9.37057	0.49681	0.14633	601.26667	128.44515	32.44167	12.52846
790	42.03619	14.61619	0.37771	0.12266	818.60000	102.51693	31.64000	5.82399
800	41.19185	10.53435	0.40900	0.08664	1021.46667	217.75485	44.09500	12.88481
810	62.21288	18.31667	0.48868	0.14664	1380.06667	141.51771	45.54700	9.27901
820	55.18003	15.89066	0.43689	0.14237	1519.40000	230.53348	52.10067	10.00801
830	79.05947	15.13059	0.62883	0.11528	1619.06667	182.90666	63.07133	13.41207
840	91.26220	26.51019	0.67106	0.19394	1913.33333	209.96372	82.53067	23.22656
850	113.30677	15.74485	0.87229	0.09671	2531.26667	217.38487	107.37967	27.13577
860	105.37051	14.89034	0.86288	0.13018	2504.40000	269.41869	109.07133	32.09845
870	110.15830	7.66139	0.93386	0.03011	2787.13333	495.04376	106.91533	26.92631
880	124.08653	14.55351	0.96549	0.02980	3205.80000	289.69730	140.98033	47.76531
890	122.15434	4.44861	0.98130	0.00786	3562.73333	297.88509	176.66200	61.15474
900	123.55948	4.11652	0.98775	0.00410	4010.00000	278.16779	199.49133	83.26027
910	122.99113	3.40549	0.98883	0.00803	4304.40000	484.55156	260.76433	112.38239
920	122.98509	3.42347	0.98808	0.00779	4561.06667	471.86701	270.70567	107.21942
930	121.82745	3.66961	0.99145	0.00620	4813.53333	502.47615	305.25333	98.33476
940	124.22305	2.70162	0.99539	0.00387	5387.00000	676.89670	1044.14267	1092.21920
950	125.06199	1.66428	0.99764	0.00180	6010.33333	332.41584	1121.77200	733.60744
960	126.04474	0.96634	0.99746	0.00189	6022.20000	313.51893	1556.80500	1653.40816
970	126.49231	0.58859	0.99932	0.00069	6545.93333	141.30105	2569.29233	1502.10118
980	126.91576	0.53462	0.99956	0.00046	6711.60000	173.99547	4407.53033	2061.91388
990	126.41893	0.55770	0.99979	0.00030	6773.13333	117.34882	4928.99800	2049.91204
1000	127.02424	0.22693	0.99990	0.00014	6870.53333	61.24594	5348.10000	1839.15705
1010	127.05769	0.29369	0.99984	0.00025	6911.40000	81.59458	5662.33350	1952.68320
1020	126.90517	0.30981	0.99999	0.00003	6972.70000	65.10849	6630.45000	744.48862
1030	126.94522	0.13757	0.99997	0.00006	7009.20000	45.91751	6659.45000	730.42135
1040	126.82729	0.16054	1.00000	0.00000	7039.10000	34.56743	7039.10000	34.56743
1050	126.88606	0.20071	1.00000	0.00000	7049.40000	34.82404	7049.40000	34.82404
1060	126.87999	0.12711	1.00000	0.00000	7079.00000	16.90093	7079.00000	16.90093
