T	LC	LC_std	SLC	SLC_std	Rg	Rg_std	Pspan
210	1.00000	0.00000	0.00000	0.00000	89.73700	0.01100	0.00000
220	1.00000	0.00000	0.00000	0.00000	89.73800	0.01300	0.00000
230	0.99997	0.00006	0.00000	0.00000	89.73600	0.00200	0.00000
240	0.99989	0.00014	0.00000	0.00000	89.73000	0.00700	0.00000
250	0.99989	0.00014	0.00000	0.00000	89.72300	0.02100	0.00000
260	1.00000	0.00000	0.00000	0.00000	89.72300	0.02700	0.00000
270	0.99992	0.00011	0.00000	0.00000	89.72200	0.01700	0.00000
280	1.00000	0.00000	0.00000	0.00000	89.74100	0.02100	0.00000
290	0.99989	0.00014	0.00000	0.00000	89.73300	0.01400	0.00000
300	0.99989	0.00010	0.00000	0.00000	89.74700	0.02000	0.00000
310	1.00000	0.00000	0.00000	0.00000	89.72600	0.01100	0.00000
320	1.00000	0.00000	0.00000	0.00000	89.73900	0.02100	0.00000
330	1.00000	0.00000	0.00000	0.00000	89.74600	0.01700	0.00000
340	1.00000	0.00000	0.00000	0.00000	89.75500	0.01800	0.00000
350	1.00000	0.00000	0.00000	0.00000	89.73200	0.01300	0.00000
360	1.00000	0.00000	0.00000	0.00000	89.75000	0.02400	0.00000
370	1.00000	0.00000	0.00000	0.00000	89.73400	0.00400	0.00000
380	1.00000	0.00000	0.00000	0.00000	89.73800	0.01700	0.00000
390	1.00000	0.00000	0.00000	0.00000	89.74600	0.00800	0.00000
400	0.99989	0.00010	0.00000	0.00000	89.74300	0.02000	0.00000
410	0.99990	0.00012	0.00000	0.00000	89.76350	0.01900	0.00000
420	0.99989	0.00014	0.00000	0.00000	89.74900	0.03000	0.00000
430	0.99994	0.00005	0.00000	0.00000	89.73750	0.01450	0.00000
440	0.99994	0.00011	0.00000	0.00000	89.74000	0.01600	0.00000
450	0.99989	0.00013	0.00000	0.00000	89.73100	0.02500	0.00000
460	0.99978	0.00044	0.00000	0.00000	89.75800	0.02100	0.00000
470	0.99985	0.00024	0.00000	0.00000	89.74950	0.01700	0.00000
480	1.00000	0.00000	0.00000	0.00000	89.73500	0.00900	0.00000
