T	LC	LC_std	SLC	SLC_std	Rg	Rg_std	Pspan
490	0.99986	0.00028	0.00000	0.00000	89.74050	0.01650	0.00000
500	0.99972	0.00038	0.00000	0.00000	89.75400	0.02600	0.00000
510	0.99952	0.00060	0.00000	0.00000	89.74950	0.02500	0.00000
520	0.99974	0.00049	0.00003	0.00006	89.75450	0.01250	0.00000
530	0.99897	0.00097	0.00009	0.00010	89.74900	0.03500	0.00000
540	0.99929	0.00058	0.00003	0.00006	89.77550	0.03400	0.00000
550	0.99895	0.00060	0.00005	0.00004	89.75667	0.02967	0.00000
560	0.99893	0.00079	0.00009	0.00017	89.73633	0.03033	0.00000
570	0.99765	0.00212	0.00012	0.00024	89.76933	0.04100	0.00000
580	0.99733	0.00154	0.00003	0.00004	89.76067	0.05133	0.00000
590	0.99761	0.00196	0.00005	0.00009	89.75100	0.04833	0.00000
600	0.99616	0.00176	0.00051	0.00053	89.72700	0.04467	0.00000
610	0.99808	0.00107	0.00004	0.00008	89.75767	0.03400	0.00000
620	0.99632	0.00272	0.00012	0.00015	89.76233	0.03667	0.00000
630	0.99410	0.00228	0.00019	0.00010	89.72233	0.05900	0.00000
640	0.99307	0.00351	0.00024	0.00021	89.71433	0.08267	0.00000
650	0.99248	0.00240	0.00040	0.00030	89.84767	0.07733	0.00000
660	0.98762	0.00663	0.00040	0.00035	89.84767	0.11867	0.00000
670	0.98168	0.00533	0.00063	0.00029	90.02567	0.20167	0.00000
680	0.98034	0.01090	0.00072	0.00056	90.10633	0.29033	0.00000
690	0.98208	0.00862	0.00072	0.00042	90.03267	0.20000	0.00000
700	0.96946	0.01179	0.00133	0.00113	90.11533	0.29933	0.00000
710	0.96148	0.01555	0.00102	0.00082	90.10767	0.27433	0.00000
720	0.96535	0.00837	0.00098	0.00051	89.96500	0.17967	0.00000
730	0.96330	0.00851	0.00104	0.00071	90.22900	0.22200	0.00000
740	0.95808	0.01320	0.00127	0.00058	90.03100	0.19200	0.00000
750	0.95168	0.01771	0.00152	0.00119	90.02533	0.22433	0.00000
760	0.95598	0.01585	0.00082	0.00051	89.85433	0.35333	0.00000
770	0.90819	0.03718	0.00237	0.00155	90.57100	0.90433	0.00000
780	0.90454	0.02246	0.00263	0.00162	90.48300	0.69100	0.00000
790	0.87353	0.01741	0.00253	0.00158	90.47100	1.02467	0.00000
800	0.83934	0.03597	0.00262	0.00173	90.95300	1.23567	0.00000
810	0.77978	0.02470	0.00497	0.00378	91.62433	1.79233	0.00000
820	0.75842	0.03933	0.00305	0.00115	91.68500	2.09233	0.00000
830	0.74065	0.03082	0.00384	0.00242	92.48667	3.89833	0.00000
840	0.69721	0.03643	0.00391	0.00185	91.64633	2.21200	0.00000
850	0.58524	0.04525	0.01429	0.01315	91.96800	7.40833	0.00000
860	0.59753	0.05908	0.01183	0.01592	90.83567	5.01800	0.00000
870	0.51684	0.12572	0.03211	0.03964	82.16533	10.75200	0.00000
880	0.44443	0.10759	0.04074	0.04193	83.45767	10.22500	0.00000
890	0.36331	0.07934	0.06107	0.05009	77.53367	10.43567	0.00000
900	0.22064	0.07422	0.08418	0.03113	57.76567	15.64133	0.00000
910	0.18986	0.06488	0.09473	0.05137	55.70100	14.04333	0.00000
920	0.14510	0.07971	0.06231	0.01854	43.43300	15.51967	0.00000
930	0.13672	0.06551	0.05882	0.01611	42.19033	13.29300	0.00000
940	0.10214	0.07093	0.04455	0.02541	36.70000	16.19333	0.00000
950	0.04712	0.02034	0.02696	0.01680	22.62867	5.59667	0.00000
960	0.04528	0.02301	0.02601	0.01316	21.53200	7.29767	0.00000
970	0.02207	0.00920	0.01189	0.00569	14.91033	3.09933	0.00000
980	0.01201	0.00692	0.00666	0.00549	10.03567	3.87867	0.00000
990	0.01380	0.00983	0.00551	0.00380	10.93100	5.32133	0.00000
1000	0.00789	0.00427	0.00324	0.00169	8.33467	2.61100	0.00000
1010	0.00602	0.00291	0.00267	0.00158	7.33450	2.12550	0.00000
1020	0.00375	0.00363	0.00214	0.00195	5.21850	2.71650	0.00000
1030	0.00402	0.00296	0.00154	0.00125	5.85000	2.04400	0.00000
1040	0.00300	0.00167	0.00104	0.00067	4.74150	1.48850	0.00000
1050	0.00293	0.00155	0.00099	0.00067	4.77150	1.30250	0.00000
1060	0.00165	0.00104	0.00060	0.00033	3.91700	0.98100	0.00000
1070	0.00210	0.00220	0.00079	0.00093	3.70900	2.37300	0.00000
1080	0.00106	0.00074	0.00047	0.00017	2.78600	1.06400	0.00000
1090	0.00051	0.00018	0.00034	0.00009	2.31750	0.43950	0.00000
1110	0.00194	0.00281	0.00100	0.00151	3.23000	2.89600	0.00000
1130	0.00046	0.00036	0.00028	0.00011	1.55200	1.32300	0.00000
