10 1.00000 0.00000 0.00000 0.00000 31.728 0.004 0.000
20 1.00000 0.00000 0.00000 0.00000 31.727 0.001 0.000
30 1.00000 0.00000 0.00000 0.00000 31.732 0.002 0.000
40 1.00000 0.00000 0.00000 0.00000 31.730 0.002 0.000
50 1.00000 0.00000 0.00000 0.00000 31.730 0.003 0.000
60 1.00000 0.00000 0.00000 0.00000 31.733 0.006 0.000
70 1.00000 0.00000 0.00000 0.00000 31.736 0.004 0.000
80 0.99997 0.00006 0.00000 0.00000 31.732 0.003 0.000
90 1.00000 0.00000 0.00000 0.00000 31.726 0.003 0.000
100 0.99989 0.00014 0.00000 0.00000 31.732 0.005 0.000
110 1.00000 0.00000 0.00000 0.00000 31.731 0.004 0.000
120 1.00000 0.00000 0.00000 0.00000 31.728 0.006 0.000
130 0.99997 0.00006 0.00000 0.00000 31.730 0.006 0.000
140 1.00000 0.00000 0.00000 0.00000 31.733 0.004 0.000
150 0.99975 0.00024 0.00000 0.00000 31.727 0.012 0.000
160 0.99936 0.00057 0.00000 0.00000 31.744 0.005 0.000
170 0.99861 0.00093 0.00000 0.00000 31.731 0.008 0.000
180 0.99936 0.00067 0.00000 0.00000 31.729 0.008 0.000
190 0.99836 0.00124 0.00000 0.00000 31.735 0.007 0.000
200 0.99703 0.00029 0.00000 0.00000 31.724 0.024 0.000
210 0.99761 0.00081 0.00000 0.00000 31.736 0.011 0.000
220 0.99528 0.00182 0.00000 0.00000 31.740 0.006 0.000
230 0.99556 0.00236 0.00000 0.00000 31.731 0.016 0.000
240 0.99161 0.00185 0.00006 0.00007 31.713 0.028 0.000
250 0.99086 0.00314 0.00003 0.00006 31.694 0.032 0.000
260 0.98433 0.00470 0.00017 0.00014 31.758 0.019 0.000
270 0.97261 0.00339 0.00017 0.00006 31.663 0.035 0.000
280 0.95819 0.00961 0.00019 0.00011 31.781 0.076 0.000
290 0.94394 0.01240 0.00033 0.00019 31.853 0.072 0.000
300 0.93189 0.00904 0.00117 0.00123 31.905 0.024 0.000
310 0.88033 0.02782 0.00119 0.00052 31.964 0.177 0.000
320 0.80958 0.02005 0.00175 0.00126 31.720 0.321 0.000
330 0.76306 0.04779 0.00383 0.00302 32.351 1.061 0.000
340 0.65742 0.05410 0.00675 0.00529 31.485 1.133 0.000
350 0.51178 0.04654 0.02031 0.02351 30.931 2.343 0.000
360 0.32328 0.06278 0.04750 0.04720 25.171 2.691 0.000
370 0.08603 0.02787 0.03628 0.02113 13.514 4.748 0.000
380 0.04469 0.02044 0.01828 0.00836 8.276 2.680 0.000
390 0.00892 0.00315 0.00597 0.00224 3.933 0.885 0.000
400 0.00217 0.00100 0.00186 0.00105 1.836 0.465 0.000
410 0.00119 0.00023 0.00092 0.00014 1.459 0.372 0.000
420 0.00094 0.00027 0.00044 0.00006 1.218 0.192 0.000
430 0.00039 0.00010 0.00036 0.00007 0.643 0.182 0.000
440 0.00042 0.00009 0.00031 0.00006 0.705 0.146 0.000
450 0.00033 0.00007 0.00031 0.00006 0.629 0.159 0.000
460 0.00025 0.00006 0.00025 0.00006 0.391 0.202 0.000
470 0.00022 0.00007 0.00022 0.00007 0.315 0.258 0.000
480 0.00025 0.00006 0.00022 0.00007 0.446 0.229 0.000
490 0.00022 0.00011 0.00014 0.00000 0.278 0.346 0.000
500 0.00019 0.00007 0.00017 0.00006 0.187 0.229 0.000
