10 44.870156 0.005110 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
20 44.868472 0.001931 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
30 44.875530 0.003519 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
40 44.872791 0.003203 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
50 44.872891 0.004837 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
60 44.877400 0.007988 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
70 44.880801 0.005017 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
80 44.875160 0.004664 1.000000 0.000000 7199.8 0.400000 7199.800 0.400000
90 44.867962 0.003641 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
100 44.876483 0.007281 1.000000 0.000000 7199.2 0.979796 7199.200 0.979796
110 44.874616 0.006048 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
120 44.870679 0.008062 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
130 44.872394 0.008184 1.000000 0.000000 7199.8 0.400000 7199.800 0.400000
140 44.876903 0.005171 1.000000 0.000000 7200.0 0.000000 7200.000 0.000000
150 44.868479 0.017071 1.000000 0.000000 7198.2 1.720465 7198.200 1.720465
160 44.892361 0.006939 1.000000 0.000000 7195.4 4.079216 7195.400 4.079216
170 44.874259 0.011984 1.000000 0.000000 7190.0 6.663332 7190.000 6.663332
180 44.871249 0.011058 1.000000 0.000000 7195.4 4.841487 7195.400 4.841487
190 44.880365 0.009463 1.000000 0.000000 7188.2 8.908423 7188.200 8.908423
200 44.864157 0.033633 1.000000 0.000000 7178.6 2.059126 7178.600 2.059126
210 44.882180 0.014850 1.000000 0.000000 7182.8 5.844656 7182.800 5.844656
220 44.887279 0.009080 1.000000 0.000000 7166.0 13.130118 7166.000 13.130118
230 44.873885 0.022840 1.000000 0.000000 7168.0 16.970563 7168.000 16.970563
240 44.849469 0.039123 0.999944 0.000069 7140.0 13.461055 5711.200 1746.670478
250 44.822479 0.045572 0.999972 0.000056 7134.4 22.428553 6422.900 1432.842713
260 44.912498 0.027207 0.999802 0.000191 7088.6 33.446076 4022.767 1626.799665
270 44.778006 0.049298 0.999829 0.000057 7004.0 24.625190 3502.000 12.312595
280 44.945817 0.107297 0.999563 0.000323 6902.0 67.245818 2308.583 982.276596
290 45.046493 0.101973 0.998795 0.000622 6804.6 89.105780 1082.030 332.250129
300 45.120145 0.033230 0.997633 0.001221 6725.6 72.383976 936.025 303.709333
310 45.203634 0.251000 0.992711 0.003234 6384.4 183.143223 296.883 89.665348
320 44.858518 0.454226 0.987028 0.006677 5905.0 112.470441 184.304 49.989029
330 45.749820 1.501471 0.976403 0.010917 5624.8 310.871935 137.853 78.662359
340 44.518705 1.608470 0.934539 0.027883 5059.4 302.884532 53.986 14.535047
350 43.636340 3.396671 0.846354 0.058857 4347.4 119.367667 28.680 3.977983
360 34.959323 4.088135 0.645538 0.110317 3591.2 134.998370 14.490 1.978428
370 17.794191 7.026424 0.276736 0.090948 2243.6 178.973294 5.538 0.511789
380 10.679497 3.814672 0.176063 0.062060 1743.6 293.748600 3.883 0.782134
390 4.284462 1.074054 0.062062 0.016754 1008.0 118.279330 2.190 0.204501
400 1.773159 0.645138 0.028059 0.015469 573.8 41.062879 1.511 0.071320
410 1.106571 0.186121 0.020731 0.005113 421.6 32.610428 1.317 0.023254
420 0.828264 0.136695 0.024555 0.004869 272.2 34.190057 1.193 0.038582
430 0.463507 0.070542 0.013285 0.003325 210.4 12.109500 1.105 0.019432
440 0.423628 0.065119 0.018196 0.003239 164.2 11.617229 1.088 0.016550
450 0.358740 0.090246 0.019939 0.004782 121.4 5.200000 1.061 0.023795
460 0.193567 0.107200 0.019863 0.002762 89.8 14.302447 1.025 0.016137
470 0.142014 0.116079 0.023652 0.007691 68.2 3.709447 1.018 0.015134
480 0.232053 0.153269 0.028926 0.008147 64.0 7.848567 1.042 0.040290
490 0.134212 0.177641 0.030979 0.015266 51.6 2.870540 1.012 0.015962
500 0.117284 0.156196 0.032598 0.008237 42.2 6.615134 1.021 0.031021
