# Cluster list (233 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 2653 27.248159822 279.2038235228 445.0433902037 18.2149999599 -19.8861648032 7.0586078022 -59.4207485954 
2 226 8.0279939089 16.5150340721 46.7837891792 1.1498629498 19.1321887731 2.7357449661 2.4111634072 
3 83 4.2956185346 9.9372659308 8.1758845861 0.3391880778 4.2938638629 1.0018797072 0.2150019569 
4 34 2.7641596695 3.5419640601 3.8397334188 0.2588811996 -0.4122992585 0.1863644296 0.700914613 
5 29 2.854903525 4.7027396234 2.9541950761 0.4935394374 0.4758381803 -1.1413573548 -0.6575498934 
6 28 3.3395094845 9.0584708582 1.7031214462 0.3907312927 -0.7212106861 1.6087842594 -0.3249292073 
7 26 2.7067098319 4.3810544362 2.4914761431 0.4537475347 1.362607357 -1.332588495 -0.2645340822 
8 21 2.6854539915 2.7553893187 4.3229404885 0.1333333334 -2.6396901364 0.3681842397 -0.5313388887 
9 20 2.3779323175 3.8567894672 1.5517726393 0.2460000001 1.2714069907 0.9138351716 0.4344639132 
10 16 2.1057748969 0.5346259136 3.7040890862 0.1955729167 -0.6667419426 0.17461648 -0.7998687935 
11 14 1.5887510794 1.0231023735 1.4775582311 0.0234693878 -0.0096923754 0.0119233876 -0.0763595552 
12 14 1.9690500982 2.2859076749 1.5133594578 0.0778911565 -0.5575146602 -0.2876609639 0.1408710748 
13 12 1.5469458779 0.5397966074 1.8037079047 0.0495370371 -0.0492979515 -0.0036461628 -0.2411315846 
14 12 1.6842777721 0.8759560802 1.8890762741 0.0717592593 -0.1825367381 -0.109942701 0.2688709313 
15 10 1.3050245225 0.3168461001 1.3569095708 0.0293333333 -0.0257540833 -0.0428295154 0.0174399677 
16 9 1.6480832136 0.9149185926 1.7255395218 0.0757201646 -0.0714791209 -0.2302147841 0.0566810953 
17 9 1.4197685728 1.000134584 0.9793942244 0.0362139918 0.1616153848 -0.178050448 -0.0252222064 
18 8 2.1165930793 2.2916889725 2.0924439573 0.0958333334 1.9953339913 -0.2968318987 -0.229337902 
19 8 1.6351956604 1.1928627469 1.3570437675 0.1239583334 0.58568502 0.3416398954 0.3142554825 
20 7 1.2120655636 0.3427430012 1.0991490449 0.0272108844 0.2328072281 0.0376067941 0.1170183715 
21 7 1.2033666061 0.7742358563 0.6085492098 0.0653061225 0.261634539 0.188025174 0.1539819138 
22 7 1.2206113492 0.7686958824 0.67493768 0.0462585034 -0.5150738743 -0.1540546311 0.1636870305 
23 6 0.9386878257 0.3974750653 0.4614375467 0.0222222222 -0.2199454067 0.057824502 -0.0543594729 
24 6 1.1709551323 0.9242250314 0.4154294089 0.0314814815 0.0078559272 0.1572424067 0.0042660194 
25 6 1.1095937369 0.8357960014 0.3639207781 0.0314814815 0.2104419386 0.1506626383 0.0558878669 
26 6 1.2909694922 0.2175825733 1.3675381748 0.0814814815 -0.1971426388 -0.0821761 0.3125986704 
27 6 1.3157120259 1.1604782381 0.5095087858 0.0611111111 0.5742509458 0.2044999757 0.1524427762 
28 6 0.9802658352 0.5198253274 0.3799846692 0.0611111111 -0.0962073267 -0.1655605708 0.0258220406 
29 6 1.1759071827 0.8743786489 0.4472679422 0.0611111111 -0.0473757172 -0.1334716128 0.1327013194 
30 5 1.0376290351 0.152563604 0.9081104104 0.016 -0.222764622 0.0032326501 0.0240682677 
31 5 1.031070077 0.6549810544 0.338791116 0.0693333334 0.320069808 -0.1689694847 -0.1496056007 
32 5 1.4726706548 0.8663124736 1.1691130504 0.1333333334 0.9599677108 -0.3343314144 -0.3912591057 
33 5 0.9880171526 0.1832478856 0.7822633416 0.0106666667 0.0997724924 -0.0191883087 -0.0251599326 
34 5 1.2126546154 1.2567482297 0.18711632 0.0266666667 0.226899648 -0.1080546862 -0.0106481222 
35 5 0.9338889755 0.3886682696 0.4461470156 0.0373333333 0.1481395539 0.0905152356 0.1064613925 
36 5 1.0289368604 0.3968963424 0.6351480536 0.0266666667 0.3758493633 0.027668593 0.1074281368 
37 4 0.8882795301 0.55443125 0.2179426069 0.0166666667 -0.3014756775 -0.0153886538 -0.0170443542 
38 4 0.8975276701 0.4581986002 0.301523985 0.0458333334 0.0275512627 0.1252311414 -0.0487802253 
