freq	A0	A1	s	E1	E2	tan	N
220.000	43.557	893.424	0.004	97.829	0.372	0.004	5.000
230.000	36.060	908.683	0.006	99.499	0.602	0.006	5.000
240.000	39.156	900.371	0.000	98.591	0.014	0.000	5.000
250.000	43.658	904.047	0.004	98.992	0.437	0.004	5.000
260.000	40.190	898.989	0.006	98.437	0.637	0.006	5.000
270.000	35.669	899.522	0.004	98.497	0.393	0.004	5.000
280.000	37.318	899.914	0.003	98.540	0.334	0.003	5.000
290.000	45.864	895.945	0.001	98.106	0.074	0.001	5.000
300.000	42.301	883.989	-0.003	96.796	0.329	-0.003	5.000
310.000	43.477	894.925	0.006	97.993	0.561	0.006	5.000
320.000	44.122	887.491	0.007	97.177	0.666	0.007	5.000
330.000	42.906	890.902	0.007	97.551	0.672	0.007	5.000
340.000	47.257	884.580	0.006	96.859	0.627	0.006	5.000
350.000	46.510	887.092	0.007	97.134	0.668	0.007	5.000
360.000	50.087	883.178	0.002	96.707	0.401	0.002	5.000
370.000	44.961	881.192	0.014	96.481	1.389	0.014	5.000
380.000	47.639	878.077	0.001	96.147	0.690	0.001	5.000
390.000	43.735	876.173	0.008	95.938	0.755	0.008	5.000
400.000	45.494	877.887	-0.003	96.121	1.206	-0.003	5.000
410.000	50.144	871.330	0.003	95.410	0.328	0.003	5.000
420.000	43.383	875.383	0.003	95.854	0.296	0.003	5.000
430.000	45.154	872.279	0.003	95.514	0.294	0.003	5.000
440.000	40.461	871.386	0.003	95.415	0.398	0.003	5.000
450.000	42.357	865.023	0.008	94.717	0.783	0.008	5.000
460.000	45.066	861.640	-0.010	94.338	1.112	-0.010	5.000
470.000	42.005	865.551	0.005	94.777	0.487	0.005	5.000
480.000	44.500	869.057	-0.004	95.151	1.356	-0.004	5.000
490.000	44.885	865.727	-0.011	94.792	1.010	-0.011	5.000
500.000	46.596	857.320	0.001	93.875	0.562	0.001	5.000
510.000	34.987	856.886	0.017	93.816	1.589	0.017	5.000
520.000	47.969	859.173	0.005	94.078	0.469	0.005	5.000
530.000	45.167	863.342	0.012	94.529	1.115	0.012	5.000
540.000	54.614	860.786	0.005	94.255	0.459	0.005	5.000
550.000	34.689	858.424	0.007	93.995	0.662	0.007	5.000
560.000	62.744	865.089	0.014	94.716	1.326	0.014	5.000
570.000	70.056	853.986	0.001	93.508	0.777	0.001	5.000
580.000	76.923	849.081	0.002	92.969	0.771	0.002	5.000
590.000	25.148	859.238	-0.001	94.086	0.100	-0.001	5.000
600.000	108.482	857.608	0.003	93.907	0.279	0.003	5.000
610.000	124.410	851.046	0.003	93.188	0.461	0.003	5.000
620.000	96.685	838.332	0.005	91.795	0.624	0.005	5.000
630.000	116.792	836.759	-0.003	91.624	0.313	-0.003	5.000
640.000	133.125	810.324	0.015	88.715	1.340	0.015	5.000
650.000	96.399	815.709	0.003	89.319	0.339	0.003	5.000
660.000	7.888	828.066	0.005	90.665	0.965	0.005	5.000
670.000	159.961	803.469	0.013	87.967	1.167	0.013	5.000
680.000	136.649	808.419	0.013	88.513	1.183	0.013	5.000
690.000	100.075	804.648	-0.001	88.101	1.192	-0.001	5.000
700.000	12.665	760.753	0.032	83.251	2.652	0.032	5.000
710.000	65.075	760.899	0.015	83.297	1.406	0.015	5.000
720.000	76.656	755.760	0.035	82.701	2.888	0.035	5.000
730.000	108.915	740.490	0.039	81.012	3.159	0.039	5.000
