T	sigma	sigma_std	fp	fp_std	p	p_std	Sm	Sm_std
1000	126.15838	3.03722	0.99035	0.00379	4639.08000	329.40723	262.66420	74.47129
1010	127.58689	2.64695	0.98958	0.00430	4603.50000	312.08963	248.28700	99.77670
1020	126.80053	2.80338	0.99376	0.00232	5012.75000	283.93673	359.25425	121.52052
1030	127.32120	1.15892	0.99687	0.00315	5559.70000	388.58015	878.61250	448.27441
1040	125.30407	1.90158	0.99638	0.00341	5577.50000	406.00742	689.87925	318.11936
1050	126.92948	1.68959	0.99729	0.00162	5857.20000	280.20963	1032.08200	568.16496
1060	125.87087	0.81012	0.99777	0.00194	5918.95000	244.43132	1427.69900	890.70033
1070	127.61484	0.93737	0.99826	0.00189	6026.90000	165.83669	1367.57900	780.78172
1080	126.46392	0.85181	0.99910	0.00095	6288.50000	191.30259	2214.03700	1345.01623
1090	126.46420	0.50202	0.99962	0.00032	6395.80000	149.26325	3160.85000	1795.93116
1100	126.58565	0.56016	0.99954	0.00043	6430.88000	158.88023	3234.76920	1836.15053
1110	126.71672	0.76726	0.99924	0.00085	6421.00000	199.67582	2614.70650	1488.95207
1120	126.65010	0.47395	0.99974	0.00034	6698.50000	95.24762	5098.38025	1945.08033
1130	126.76027	0.37026	0.99997	0.00006	6697.30000	97.67353	6261.43350	928.82993
1140	126.76428	0.31238	0.99969	0.00046	6704.35000	122.59091	4696.10550	1948.11006
1150	126.94740	0.30098	0.99992	0.00013	6794.20000	37.31171	5584.32233	1708.20869
1160	126.98481	0.25823	0.99997	0.00006	6848.25000	61.90985	6449.87500	854.11406
1170	126.77054	0.26185	0.99999	0.00003	6875.30000	34.04247	6534.20000	713.93666
1180	126.93202	0.23118	0.99999	0.00001	6911.75000	56.72561	6741.50000	387.66797
1190	126.78075	0.16226	1.00000	0.00000	6948.20000	34.85281	6948.20000	34.85281
1200	126.77087	0.14799	1.00000	0.00000	6974.70000	36.53000	6974.70000	36.53000
1250	126.64715	0.21332	1.00000	0.00000	7043.40000	40.10786	7043.40000	40.10786
1300	126.77981	0.08783	1.00000	0.00000	7080.00000	18.07761	7080.00000	18.07761
1350	126.89482	0.15762	1.00000	0.00000	7095.20000	37.19355	7095.20000	37.19355
1400	126.72729	0.04007	1.00000	0.00000	7136.00000	5.54978	7136.00000	5.54978
1450	126.76373	0.04066	1.00000	0.00000	7145.60000	9.60417	7145.60000	9.60417
1500	126.95597	0.04649	1.00000	0.00000	7160.60000	9.85089	7160.60000	9.85089
1550	126.82469	0.04037	1.00000	0.00000	7165.00000	6.89928	7165.00000	6.89928
1600	126.65662	0.02892	1.00000	0.00000	7167.80000	5.70614	7167.80000	5.70614
1650	126.76744	0.05120	1.00000	0.00000	7176.40000	4.02989	7176.40000	4.02989
1700	126.81483	0.04533	1.00000	0.00000	7178.60000	3.00666	7178.60000	3.00666
