T	LC	LC_std	SLC	SLC_std	Rg	Rg_std	Pspan
600	0.00028	0.00018	0.00011	0.00010	1.04000	1.29300	0.00000
620	0.00025	0.00016	0.00017	0.00006	0.91600	1.25100	0.00000
640	0.00108	0.00037	0.00060	0.00031	4.15000	1.38800	0.00000
650	0.00128	0.00027	0.00081	0.00028	4.50300	1.34200	0.00000
660	0.00169	0.00084	0.00094	0.00039	4.83100	1.78100	0.00000
670	0.00257	0.00151	0.00114	0.00057	6.53300	2.08600	0.00000
680	0.00162	0.00065	0.00066	0.00041	5.90800	1.91033	0.00000
690	0.00133	0.00083	0.00064	0.00054	4.60900	1.98900	0.00000
700	0.00300	0.00192	0.00159	0.00084	6.89180	2.87900	0.00000
710	0.00239	0.00101	0.00132	0.00044	6.39750	1.74850	0.00000
720	0.00211	0.00142	0.00118	0.00087	6.14875	2.51500	0.00000
730	0.00435	0.00311	0.00163	0.00105	8.38650	2.26300	0.00000
740	0.00258	0.00129	0.00139	0.00050	6.59850	1.95450	0.00000
750	0.00310	0.00183	0.00138	0.00047	6.70033	2.01467	0.00000
760	0.00278	0.00130	0.00108	0.00070	6.77925	1.97075	0.00000
770	0.00345	0.00132	0.00184	0.00081	7.62750	1.22000	0.00000
780	0.00876	0.00477	0.00297	0.00097	12.38250	3.72250	0.00000
790	0.00716	0.00369	0.00413	0.00155	12.53200	3.77900	0.00000
800	0.00574	0.00300	0.00342	0.00138	10.12760	3.28920	0.00000
810	0.01321	0.00578	0.00689	0.00322	15.10400	4.56050	0.00000
820	0.01572	0.00766	0.00837	0.00326	17.48125	5.00425	0.00000
830	0.02262	0.01108	0.00980	0.00445	20.17200	5.70000	0.00000
840	0.02137	0.01061	0.00945	0.00368	21.13975	5.63900	0.00000
850	0.02335	0.00689	0.01535	0.00544	21.28233	4.29467	0.00000
860	0.02270	0.01235	0.01133	0.00421	21.28700	9.35825	0.00000
870	0.02678	0.01108	0.01454	0.00488	23.39750	5.77900	0.00000
880	0.03535	0.01541	0.01994	0.00630	25.08100	7.05950	0.00000
890	0.04660	0.02250	0.02624	0.00882	32.62650	11.99950	0.00000
900	0.08550	0.03421	0.03416	0.01289	45.17620	14.03260	0.00000
910	0.13512	0.03132	0.03638	0.01987	57.81050	6.01850	0.00000
920	0.14079	0.05812	0.02928	0.01737	57.45950	17.83350	0.00000
930	0.16959	0.05772	0.02572	0.02284	64.60000	13.29000	0.00000
940	0.14686	0.04105	0.02965	0.01158	57.76450	13.36925	0.00000
950	0.25791	0.09125	0.03605	0.02849	72.17500	11.70367	0.00000
960	0.25655	0.08382	0.04462	0.04138	72.70000	11.55675	0.00000
970	0.47198	0.06847	0.00525	0.00264	87.17800	2.25550	0.00000
980	0.53368	0.05813	0.00323	0.00301	89.68325	3.00375	0.00000
990	0.61865	0.03054	0.00125	0.00063	88.11800	2.40100	0.00000
1000	0.63839	0.04697	0.00127	0.00075	89.20800	2.14740	0.00000
1010	0.63293	0.04504	0.00150	0.00098	90.21800	1.87150	0.00000
1020	0.69199	0.04027	0.00102	0.00055	89.66200	1.98250	0.00000
1030	0.76988	0.05566	0.00093	0.00085	90.03000	0.81950	0.00000
1040	0.77206	0.05836	0.00069	0.00059	88.60375	1.34425	0.00000
1050	0.81135	0.03968	0.00064	0.00025	89.75233	1.19500	0.00000
1060	0.82032	0.03496	0.00088	0.00091	89.00450	0.57250	0.00000
1070	0.83564	0.02365	0.00053	0.00052	90.23700	0.66250	0.00000
1080	0.87265	0.02719	0.00037	0.00039	89.42375	0.60225	0.00000
1090	0.88797	0.02085	0.00021	0.00015	89.42400	0.35500	0.00000
1100	0.89277	0.02225	0.00023	0.00019	89.50960	0.39600	0.00000
1110	0.89115	0.02835	0.00028	0.00020	89.60250	0.54250	0.00000
1120	0.93011	0.01349	0.00015	0.00018	89.55500	0.33500	0.00000
1130	0.93015	0.01358	0.00002	0.00003	89.63300	0.26200	0.00000
1140	0.93088	0.01724	0.00016	0.00022	89.63575	0.22075	0.00000
1150	0.94356	0.00516	0.00006	0.00008	89.76533	0.21267	0.00000
1160	0.95111	0.00864	0.00002	0.00004	89.79175	0.18250	0.00000
1170	0.95489	0.00475	0.00002	0.00003	89.64050	0.18550	0.00000
1180	0.95996	0.00788	0.00001	0.00002	89.75475	0.16350	0.00000
1190	0.96503	0.00484	0.00000	0.00000	89.64750	0.11450	0.00000
1200	0.96871	0.00507	0.00000	0.00000	89.64050	0.10450	0.00000
1250	0.97825	0.00557	0.00000	0.00000	89.55300	0.15100	0.00000
1300	0.98333	0.00251	0.00000	0.00000	89.64700	0.06200	0.00000
1350	0.98544	0.00517	0.00000	0.00000	89.72800	0.11100	0.00000
1400	0.99111	0.00077	0.00000	0.00000	89.61000	0.02800	0.00000
1450	0.99244	0.00133	0.00000	0.00000	89.63500	0.02900	0.00000
1500	0.99453	0.00137	0.00000	0.00000	89.77100	0.03300	0.00000
1550	0.99514	0.00096	0.00000	0.00000	89.67900	0.02900	0.00000
1600	0.99553	0.00079	0.00000	0.00000	89.56000	0.02000	0.00000
1650	0.99672	0.00056	0.00000	0.00000	89.63800	0.03600	0.00000
1700	0.99703	0.00042	0.00000	0.00000	89.67200	0.03200	0.00000
