T	sigma	sigma_std	fp	fp_std	p	p_std	Sm	Sm_std
220	126.89697	0.01578	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
230	126.89123	0.02272	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
240	126.90573	0.01305	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
250	126.89348	0.01522	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
260	126.89665	0.01434	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
270	126.90443	0.01972	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
280	126.90757	0.02871	1.00000	0.00000	7199.80000	0.40000	7199.80000	0.40000
290	126.91303	0.02959	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
300	126.90606	0.01482	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
310	126.89611	0.02912	1.00000	0.00000	7199.60000	0.80000	7199.60000	0.80000
320	126.90564	0.03058	1.00000	0.00000	7199.50000	0.44721	7199.50000	0.44721
330	126.89346	0.02200	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
340	126.91592	0.01814	1.00000	0.00000	7199.00000	0.94868	7199.00000	0.94868
350	126.90266	0.04853	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
360	126.91987	0.02376	1.00000	0.00000	7198.30000	2.08990	7198.30000	2.08990
370	126.89754	0.01877	1.00000	0.00000	7199.80000	0.40000	7199.80000	0.40000
380	126.92765	0.02519	1.00000	0.00000	7199.60000	0.48990	7199.60000	0.48990
390	126.91343	0.02498	1.00000	0.00000	7199.60000	0.80000	7199.60000	0.80000
400	126.91257	0.01867	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
410	126.91953	0.01818	1.00000	0.00000	7199.60000	0.80000	7199.60000	0.80000
420	126.91060	0.02395	1.00000	0.00000	7199.80000	0.40000	7199.80000	0.40000
430	126.88882	0.03183	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
440	126.90350	0.02473	1.00000	0.00000	7199.10000	1.26449	7199.10000	1.26449
450	126.92521	0.03472	1.00000	0.00000	7199.20000	0.97980	7199.20000	0.97980
460	126.91544	0.02724	1.00000	0.00000	7199.60000	0.64495	7199.60000	0.64495
470	126.91031	0.02765	1.00000	0.00000	7199.40000	1.20000	7199.40000	1.20000
480	126.91168	0.02490	1.00000	0.00000	7199.70000	0.40000	7199.70000	0.40000
490	126.90961	0.03103	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
500	126.91926	0.02055	1.00000	0.00000	7199.70000	0.40000	7199.70000	0.40000
510	126.91907	0.04714	1.00000	0.00000	7196.20000	3.70945	7196.20000	3.70945
520	126.90709	0.02179	1.00000	0.00000	7199.00000	1.16619	7199.00000	1.16619
