T	LC	LC_std	SLC	SLC_std	Rg	Rg_std	Pspan
1070	0.03454	0.01576	0.01799	0.00486	20.53300	5.08250	0.00000
1080	0.02451	0.01511	0.00757	0.00292	17.07475	6.96275	0.00000
1090	0.01068	0.00551	0.00688	0.00283	10.22200	2.96700	0.00000
1100	0.01603	0.00810	0.00856	0.00451	12.50120	3.67100	0.00000
1110	0.01964	0.01491	0.00807	0.00417	13.65650	5.59850	0.00000
1120	0.00841	0.00567	0.00350	0.00189	8.32450	2.97400	0.00000
1130	0.00498	0.00277	0.00360	0.00185	7.22800	2.33200	0.00000
1140	0.01203	0.00854	0.00414	0.00321	10.14050	4.04100	0.00000
1150	0.00485	0.00216	0.00217	0.00069	6.70200	1.32800	0.00000
1160	0.00360	0.00192	0.00187	0.00123	5.83675	1.55975	0.00000
1170	0.00269	0.00128	0.00169	0.00112	5.26100	1.14700	0.00000
1180	0.00263	0.00229	0.00136	0.00105	4.62225	2.03475	0.00000
1190	0.00209	0.00205	0.00078	0.00027	4.03800	1.83900	0.00000
1200	0.00105	0.00045	0.00070	0.00010	3.40300	1.19800	0.00000
1250	0.00178	0.00149	0.00078	0.00050	4.24100	1.69100	0.00000
1300	0.00067	0.00024	0.00042	0.00000	2.65600	1.04200	0.00000
1350	0.00214	0.00351	0.00036	0.00017	3.25700	2.85500	0.00000
1400	0.00033	0.00007	0.00028	0.00000	1.71600	0.26600	0.00000
1450	0.00025	0.00006	0.00019	0.00007	1.10000	0.55400	0.00000
1500	0.00017	0.00006	0.00014	0.00000	0.23500	0.46900	0.00000
1550	0.00022	0.00007	0.00014	0.00000	0.89500	0.74100	0.00000
1600	0.00022	0.00007	0.00017	0.00006	0.89300	0.74500	0.00000
1650	0.00017	0.00006	0.00014	0.00000	0.33000	0.65900	0.00000
1700	0.00014	0.00000	0.00014	0.00000	0.00000	0.00000	0.00000
