# Cluster list (201 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 1020 44.4871634703 1050.8672415084 858.2835303454 69.9569417796 496.594366394 -249.8914149374 -191.3572862598 
2 619 31.7093584333 593.5699273147 403.7742500435 8.1392348908 -210.4795917643 -22.465976626 -0.0617503933 
3 235 16.8766860744 162.8537113478 113.3405794666 8.6282420389 23.5896138676 -35.5770075768 -0.1531417212 
4 54 8.7430164575 37.6121023981 36.8660439458 1.9621904321 18.7185103519 -6.0708625 -6.7850401255 
5 41 6.6982786717 23.6933992076 20.5769182063 0.5966197501 6.0517118377 1.449624533 2.6826852945 
6 29 6.4218075561 23.1787905184 17.0343080951 1.0265136742 -5.5882170868 -1.360539453 -2.9001788942 
7 27 6.1447649304 18.8984380192 18.336301048 0.5233969822 -10.8215919657 1.4129685734 -2.0212598491 
8 21 7.0073097439 18.8653485624 28.8087242772 1.4283170068 -11.9077427731 -3.5757684354 -0.4044428435 
9 16 4.6872313206 16.8895396403 4.689249375 0.3913484375 -2.0982140812 0.5081421641 0.504110625 
10 15 5.1927241798 4.4699085411 22.0539452 0.4405306667 -5.85020938 -0.4662811733 1.5379153333 
11 15 6.6343556081 2.1121125299 40.3772835822 1.5252782222 -1.534929308 0.6590357916 -7.5434079556 
12 9 4.2530536858 4.2406113333 13.3741654321 0.4736888889 1.0871446296 -0.5078366667 -1.7691414815 
13 6 3.2710927073 6.5753981389 3.8730021389 0.2516472222 0.2382865278 0.7827830556 -0.2178847222 
14 6 2.7392915852 2.6437324722 4.6823525833 0.1776333333 2.24578475 -0.0517083333 -0.5892316667 
15 6 3.4091707081 7.7653181389 3.5610712222 0.2960555556 3.0868387944 0.4554794444 0.7702270556 
16 5 2.4287876811 2.02662376 3.74448984 0.127896 0.36241608 0.3322376 -0.0709852 
17 5 2.6374777169 4.2637505473 2.39411416 0.298424 -0.2355533208 0.971817756 -0.4283932 
18 4 2.9499775401 4.5891600319 3.746838705 0.36636875 -3.82094352 -1.1518076875 1.15903925 
