# Cluster list (183 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 161 14.9133665069 143.3922499783 72.9846802969 6.0315702944 -26.0816044988 -26.1915485436 10.9334792898 
2 111 13.0178261417 68.2994122734 99.0726629351 2.0917222466 -56.3584801737 1.3129376755 2.472555799 
3 91 10.3564799794 57.1013809601 47.9113377814 2.2439588214 -14.04687267 10.4898464197 -1.0885777454 
4 53 12.0289705935 27.7377641684 111.5242691221 5.4341002492 35.2445807899 -9.0475790691 -23.8189137593 
5 48 7.5915939197 32.6939888237 23.2306702253 1.7076391927 -3.2516801867 -6.6940979089 2.0283097526 
6 14 4.0290404175 10.9749792949 4.8965766764 0.3616107143 1.8163048471 -1.8139691786 -0.21536825 
7 13 4.8947401609 7.916080033 15.6198651152 0.4225360947 -5.0066804432 -0.4418197574 -0.1948172641 
8 9 4.5927984317 16.9474860069 3.5805163654 0.5657950617 -0.0265952106 0.9580186543 1.2442264198 
9 8 3.4434802159 3.9928748098 7.7314561875 0.133225 -1.9537962031 -0.135460625 0.3856225 
10 7 4.4624692694 4.1877011196 15.2039063706 0.5220244898 6.3957668441 1.051623102 1.847768551 
11 4 1.8689266015 1.905685415 1.4872824769 0.09991875 0.63220118 -0.154103 0.2186121875 
12 4 2.0633116111 2.5108273669 1.6465086875 0.09991875 -1.2091325938 0.3880725625 -0.192948125 
13 3 1.4471228229 1.0010195756 0.9747226667 0.1184222222 -0.0301648 -0.0162708889 -0.33872 
14 3 2.1504903312 3.5656126667 0.9405737756 0.1184222222 -0.9506972 0.14965 0.2376798889 
15 3 1.9041069525 1.8704215556 1.6367795089 0.1184222222 0.3332154111 0.4273744444 0.2571465556 
16 3 2.3010254719 4.4391028889 0.5003486667 0.3552666667 -0.4342933333 1.2524366667 -0.1520833333 
17 3 1.5675654868 1.0077946667 1.3310446667 0.1184222222 0.1591673333 -0.2501466667 -0.3107366667 
18 3 1.6285976169 1.28206338 1.2518445956 0.1184222222 0.03149158 0.336822 -0.1852415556 
19 3 2.4700968492 1.1019882222 4.6441235556 0.3552666667 1.2056251111 -0.35551 -1.28334 
20 2 1.3273268098 0.01185921 1.61671225 0.133225 0.13846635 0.0397485 0.4640975 
21 2 1.3172062443 0.452929 1.28210329 0.0 -0.7620379 0.0 0.0 
