# Cluster list (126 data points):
# "Cluster Identifier" "Cluster Size" "Radius of Gyration" "Gyration Tensor.XX" "Gyration Tensor.YY" "Gyration Tensor.ZZ" "Gyration Tensor.XY" "Gyration Tensor.XZ" "Gyration Tensor.YZ"
1 510 14.8149269274 108.2526940722 99.9035229078 11.3258428856 -58.9939892467 22.8298941106 -31.00016398 
2 238 7.9808663343 38.1063714217 23.0706879795 2.5171680447 -5.0276200826 8.9372069095 -1.589225799 
3 223 8.8300409333 41.8593560038 34.032158197 2.0781086832 -12.5172642543 -4.8162528661 6.689039333 
4 106 5.8384753438 26.2304775303 7.3518937644 0.5054230452 1.0719333461 0.5380060853 1.1401540528 
5 95 5.8772316974 8.9928130739 23.5925481221 1.9564912289 -6.4653992669 -2.6368287115 6.2981259049 
6 68 5.4185414506 22.505101978 6.2027357246 0.6527537488 -4.1704937681 1.3140033037 -1.7913682402 
7 53 3.7653830832 6.5009244681 7.3334805366 0.3437047587 -3.2738240854 -0.7158280559 1.3697917112 
8 43 4.1539155404 3.2656870803 13.7096084699 0.279718767 3.6089006877 -0.666877112 -1.0627007439 
9 37 3.6983149623 8.6982482416 4.4621195043 0.5171658147 4.2806348125 -2.0848569426 -1.0668767848 
10 27 2.6178583422 3.646680081 3.0731688855 0.1333333334 -0.2711815186 -0.0695300921 0.5131804939 
11 24 2.7907604879 3.2602744264 4.3318891187 0.1961805556 -1.1142703952 0.4595380808 -0.3572732622 
12 23 2.6062549687 4.4624443722 2.2030884533 0.1270321362 -2.1828996201 0.5353794003 -0.3941515385 
13 22 3.1770686511 2.7700019167 6.9390525534 0.384710744 -0.851349112 -0.4787856166 1.3512962129 
14 21 1.9980190677 1.6092013691 2.2051010479 0.1777777779 0.6989732066 -0.2705666166 -0.5971112382 
15 18 2.5160126898 3.2538809981 2.6468092276 0.4296296298 -2.0928606277 1.1229543082 -0.8593581053 
16 16 1.8698459642 1.9434018609 1.4802658188 0.07265625 0.0947364341 0.2000483646 -0.0020195994 
17 16 1.8406241972 1.6358782568 1.7064462619 0.0455729167 0.9599627568 0.1217454564 0.0747465614 
18 11 1.373420206 0.7303887117 1.1063075736 0.0495867769 -0.1867210008 0.0808943523 -0.1763716073 
19 11 1.3489513916 1.1511924929 0.6023616615 0.0661157025 -0.0518433813 0.2350555204 0.0280939597 
20 10 2.0092924538 1.2185283941 2.738061104 0.0806666667 1.345158677 -0.2482347364 -0.1584385847 
21 8 1.1776233364 0.2110543823 1.11011734 0.065625 0.0057778738 -0.0320937186 -0.2445982633 
22 7 1.2902962276 0.209567042 1.4280864286 0.0272108844 -0.0423869371 0.0262024449 -0.1343888336 
23 7 1.3337038262 0.8146819739 0.8933356229 0.0707482993 -0.5548703757 0.1461890498 -0.2483504464 
24 6 0.8704933141 0.2411507092 0.4851264192 0.0314814815 -0.0965664958 -0.0651758548 0.0936594956 
25 6 1.339543294 0.4224596272 1.2959906833 0.075925926 0.0926804652 -0.022490486 -0.301709706 
26 6 1.2747161514 1.1404898765 0.4399669456 0.0444444445 -0.5896481506 0.2136135358 -0.1246627273 
27 6 0.9291026874 0.3460471056 0.5023698833 0.0148148148 -0.171207425 0.0151290205 0.0309623502 
28 5 1.0649502729 0.2966591624 0.800126588 0.0373333333 0.330151474 -0.0119318871 -0.1378317314 
29 5 0.8928035626 0.1414624256 0.5863024424 0.0693333334 0.0371124688 0.0053519466 0.2003323874 
