T	LC	LC_std	SLC	SLC_std	Rg	Rg_std	Pspan
520	0.00156	0.00049	0.00067	0.00032	5.74100	2.07300	0.00000
540	0.00289	0.00132	0.00111	0.00053	6.58400	2.26000	0.00000
560	0.00144	0.00047	0.00086	0.00024	5.27900	1.59000	0.00000
580	0.00531	0.00389	0.00206	0.00064	9.25500	3.30100	0.00000
600	0.00408	0.00139	0.00219	0.00069	9.42900	0.91000	0.00000
620	0.00486	0.00328	0.00331	0.00291	7.99700	3.89400	0.00000
640	0.01239	0.00294	0.01039	0.00263	13.64900	2.05800	0.00000
660	0.01794	0.01167	0.00875	0.00147	19.20500	9.05200	0.00000
680	0.03246	0.01125	0.01356	0.00632	22.02400	4.55850	0.00000
690	0.03458	0.01689	0.01614	0.01295	26.03100	11.78300	0.00000
700	0.04539	0.02454	0.02081	0.01381	25.78900	7.98200	0.00000
710	0.05583	0.00909	0.02669	0.01025	30.08000	3.84700	0.00000
720	0.05273	0.01069	0.02540	0.01163	32.73600	3.09850	0.00000
730	0.05983	0.01204	0.04131	0.01839	33.45700	7.51100	0.00000
740	0.08990	0.02504	0.03741	0.01525	44.97000	10.25900	0.00000
750	0.12436	0.03454	0.04967	0.02654	49.00200	13.73100	0.00000
760	0.17336	0.07345	0.04121	0.02938	53.97700	15.25100	0.00000
770	0.28333	0.07032	0.01094	0.00985	74.47800	12.30600	0.00000
780	0.25620	0.03467	0.02504	0.01890	74.68550	11.54050	0.00000
790	0.36608	0.06674	0.01586	0.01867	81.68700	12.83900	0.00000
800	0.37772	0.06509	0.03229	0.04240	74.44100	10.28400	0.00000
810	0.54711	0.06325	0.00350	0.00424	87.38700	4.65400	0.00000
820	0.50090	0.05835	0.00881	0.01280	87.13500	2.92300	0.00000
830	0.55047	0.06426	0.00781	0.01319	85.67500	1.43900	0.00000
840	0.62865	0.06496	0.00155	0.00110	89.44200	3.45500	0.00000
850	0.69792	0.06277	0.00150	0.00082	87.17300	1.00500	0.00000
860	0.75855	0.03861	0.00114	0.00091	89.06100	1.28850	0.00000
870	0.76189	0.05662	0.00106	0.00074	87.77600	1.47400	0.00000
880	0.85749	0.04775	0.00071	0.00048	88.56750	1.13650	0.00000
890	0.86475	0.02047	0.00058	0.00044	89.28500	1.69100	0.00000
900	0.92882	0.02933	0.00016	0.00013	89.29500	0.66550	0.00000
910	0.92736	0.02330	0.00019	0.00019	88.87500	0.84900	0.00000
920	0.95269	0.01671	0.00026	0.00016	89.27650	0.65800	0.00000
930	0.97367	0.00759	0.00006	0.00011	89.70300	0.19100	0.00000
940	0.98459	0.00447	0.00000	0.00000	89.64050	0.14200	0.00000
950	0.98178	0.00504	0.00008	0.00017	89.67700	0.32600	0.00000
960	0.98642	0.00436	0.00004	0.00009	89.68400	0.10800	0.00000
970	0.99075	0.00152	0.00000	0.00000	89.71600	0.03700	0.00000
980	0.99395	0.00291	0.00000	0.00000	89.70600	0.08300	0.00000
990	0.99503	0.00136	0.00000	0.00000	89.65900	0.04500	0.00000
1000	0.99360	0.00485	0.00003	0.00006	89.55900	0.20450	0.00000
