T	sigma	sigma_std	fp	fp_std	p	p_std	Sm	Sm_std
300	0.32804	0.65608	0.33333	0.42164	0.80000	1.16619	0.50000	0.63246
400	3.30911	3.68877	0.54000	0.45431	5.20000	5.74108	3.70000	5.24976
440	4.79552	3.22653	0.57968	0.35650	10.00000	7.12741	3.75300	2.43106
460	4.29801	0.86575	0.88308	0.15464	7.80000	3.31059	4.73300	1.25433
480	2.83527	2.35835	0.38769	0.37374	7.20000	6.30555	3.46700	3.08833
500	3.76355	2.18587	0.49437	0.31940	11.60000	8.26075	4.13000	2.69770
520	7.29903	2.86088	0.55075	0.21227	21.20000	4.53431	6.30000	1.88680
540	8.41139	2.88206	0.49268	0.22152	47.20000	28.19504	8.61300	4.79470
560	6.76355	1.80274	0.38222	0.14509	30.80000	12.15566	5.45600	0.93256
580	12.70298	4.36989	0.52577	0.11534	68.20000	34.31851	12.61100	5.56754
600	11.86305	0.92930	0.40032	0.10832	79.60000	28.97309	9.47600	3.73083
620	10.67686	5.49099	0.30905	0.14761	106.40000	49.53625	10.68000	6.17945
640	18.52506	3.80905	0.25761	0.04545	343.00000	33.25658	19.68700	3.84715
660	25.82100	11.89393	0.30066	0.16485	405.00000	62.64503	17.67800	3.90603
680	29.84295	5.78301	0.43586	0.15027	527.60000	107.85714	29.27450	8.01592
690	32.68781	12.74809	0.39287	0.09360	609.00000	197.16288	25.45200	10.85439
700	33.58677	11.18660	0.40991	0.12313	748.20000	202.38518	32.44300	9.43479
710	43.06084	6.32724	0.44425	0.04559	904.40000	113.96245	38.04500	5.33874
720	42.61662	3.71312	0.41355	0.07259	910.70000	185.05181	37.73350	12.20770
730	44.47185	8.67835	0.39831	0.04893	1078.60000	154.70178	45.14800	12.69749
740	60.65082	15.26711	0.54359	0.14878	1179.70000	95.59790	53.66900	11.45993
750	66.10324	19.11469	0.56799	0.13773	1573.00000	175.76234	94.72600	35.90598
760	74.89489	22.61160	0.67158	0.20037	1799.70000	412.56688	85.82700	33.04073
770	104.92321	18.12187	0.90452	0.10687	2213.80000	363.32101	163.43000	72.51073
780	104.46145	17.16066	0.82751	0.08569	2199.90000	166.85110	132.67950	32.00327
790	115.32475	18.37007	0.93003	0.06742	2813.00000	336.68086	165.11200	45.52031
800	106.16620	12.70692	0.88257	0.11657	3051.30000	199.54579	222.41100	157.78115
810	123.57868	6.58318	0.98237	0.00950	4011.00000	475.30369	192.94000	71.50335
820	123.12324	4.27530	0.96386	0.03172	3734.30000	366.02390	270.23250	247.61207
830	121.11054	2.13110	0.97967	0.02648	4043.20000	432.81747	297.39500	57.61951
840	126.48839	4.88730	0.99107	0.00343	4563.80000	459.51298	342.83200	119.24736
850	123.28097	1.42273	0.98932	0.00819	5076.80000	427.54106	365.77300	255.82718
860	125.95070	1.82175	0.99392	0.00378	5494.00000	262.06433	472.07900	236.23683
870	124.13387	2.08392	0.99412	0.00391	5517.60000	404.74417	548.66900	400.65842
880	125.25324	1.60736	0.99709	0.00182	6191.60000	339.10628	731.14700	322.18417
890	126.26747	2.39163	0.99825	0.00133	6237.00000	143.09996	1344.79000	674.63116
900	126.28203	0.94098	0.99952	0.00053	6690.60000	208.89511	3431.99250	2315.92691
910	125.68867	1.20024	0.99973	0.00029	6678.80000	167.92308	4326.60000	1973.92643
920	126.25606	0.93110	0.99963	0.00022	6861.80000	119.92094	3683.95000	1465.24505
930	126.85864	0.27063	0.99994	0.00012	7010.80000	54.06071	6318.10000	1427.70874
940	126.77111	0.20085	1.00000	0.00000	7089.00000	32.18483	7089.00000	32.18483
950	126.82265	0.46093	0.99986	0.00028	7069.80000	34.99943	6133.13300	1895.92407
960	126.83236	0.15286	0.99994	0.00011	7102.60000	30.99050	6629.66650	969.81254
970	126.87775	0.05191	1.00000	0.00000	7133.40000	10.96540	7133.40000	10.96540
980	126.86325	0.11707	1.00000	0.00000	7156.50000	20.91447	7156.50000	20.91447
990	126.79639	0.06325	1.00000	0.00000	7164.20000	9.78570	7164.20000	9.78570
1000	126.65535	0.28908	0.99997	0.00006	7154.10000	34.58681	6445.20000	1450.37708
