freq	A0	A1	s	E1	E2	tan	N
220.000	42.923	898.543	-0.000	98.391	0.032	-0.000	5.000
240.000	43.675	895.928	-0.002	98.104	0.238	-0.002	5.000
260.000	42.203	894.492	0.000	97.947	0.003	0.000	5.000
280.000	43.335	890.601	0.001	97.521	0.061	0.001	5.000
300.000	42.592	889.099	0.001	97.356	0.086	0.001	5.000
320.000	43.509	885.729	0.001	96.987	0.136	0.001	5.000
340.000	44.939	882.705	0.001	96.656	0.079	0.001	5.000
360.000	42.564	881.170	-0.001	96.488	0.047	-0.001	5.000
380.000	46.040	876.521	0.000	95.979	0.019	0.000	5.000
400.000	41.560	877.404	-0.002	96.076	0.199	-0.002	5.000
420.000	46.437	870.513	-0.000	95.321	0.007	-0.000	5.000
440.000	54.203	855.550	0.015	93.672	1.394	0.015	5.000
460.000	23.690	860.094	0.002	94.180	0.212	0.002	5.000
480.000	20.081	852.306	0.003	93.327	0.240	0.003	5.000
500.000	52.747	848.607	0.008	92.919	0.762	0.008	5.000
520.000	43.905	838.783	0.024	91.821	2.188	0.024	5.000
540.000	31.047	851.565	0.004	93.246	0.369	0.004	5.000
560.000	37.590	819.412	0.019	89.709	1.734	0.019	5.000
580.000	45.339	827.046	0.038	90.494	3.489	0.039	5.000
600.000	82.620	817.724	0.008	89.538	0.716	0.008	5.000
620.000	86.349	794.932	0.017	87.032	1.502	0.017	5.000
640.000	-28.907	754.241	0.070	82.385	5.802	0.070	5.000
660.000	110.113	719.149	0.095	78.391	7.474	0.095	5.000
680.000	99.792	704.433	0.095	76.787	7.315	0.095	5.000
690.000	73.751	688.012	0.139	74.609	10.449	0.140	5.000
700.000	-2.298	635.756	0.178	68.517	12.319	0.180	5.000
710.000	10.975	637.321	0.287	66.927	19.773	0.295	5.000
720.000	125.611	636.715	0.182	68.492	12.272	0.185	5.000
730.000	66.906	671.926	0.161	72.630	11.763	0.162	5.000
740.000	43.964	607.632	0.268	64.151	17.629	0.274	5.000
750.000	119.621	522.657	0.393	52.879	21.890	0.414	5.000
760.000	12.484	540.593	0.365	55.277	21.077	0.383	5.000
770.000	61.138	482.103	0.621	42.935	30.715	0.715	5.000
780.000	7.220	412.845	0.552	38.403	23.686	0.620	5.000
790.000	-52.733	419.433	0.614	37.543	26.456	0.705	5.000
800.000	55.846	304.974	0.629	26.941	19.701	0.728	5.000
810.000	-2.420	225.165	0.846	16.354	18.451	1.128	5.000
820.000	-1.202	303.553	0.749	24.085	22.643	0.948	5.000
830.000	-8.581	225.131	0.997	13.381	20.704	1.547	5.000
840.000	-16.418	178.948	0.933	11.603	15.232	1.547	5.000
850.000	-6.741	129.055	0.901	8.768	11.082	1.264	5.000
860.000	-10.538	118.869	1.357	2.287	12.568	28.878	5.000
870.000	9.051	112.163	1.213	4.301	11.504	2.675	5.000
880.000	-6.416	59.201	1.406	1.079	6.390	6.131	5.000
890.000	-0.498	63.988	1.320	1.741	6.787	3.898	5.000
900.000	-1.118	34.249	0.028	0.371	3.731	2.448	5.000
910.000	12.560	18.521	1.169	0.794	1.866	2.350	5.000
920.000	-0.530	31.742	-0.403	0.567	3.277	-10.232	5.000
930.000	-8.047	27.204	1.324	0.727	2.889	3.977	5.000
940.000	6.237	10.097	-0.142	0.756	0.792	-0.287	5.000
950.000	9.424	28.368	1.533	0.117	3.104	26.596	5.000
960.000	-1.970	3.957	-0.135	1.335	0.968	-0.221	5.000
970.000	-0.307	-14.095	0.775	1.102	1.080	0.980	5.000
980.000	-5.755	18.902	-0.198	1.389	1.484	-0.518	5.000
990.000	5.150	8.516	1.568	0.003	0.932	321.341	5.000
1000.000	1.384	-15.614	0.354	1.346	0.926	0.452	5.000
