T	sigma	sigma_std	fp	fp_std	p	p_std	Sm	Sm_std
220	126.89465	0.01544	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
240	126.89679	0.01572	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
260	126.88342	0.01449	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
280	126.90023	0.01063	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
300	126.91087	0.02647	1.00000	0.00000	7199.20000	1.16619	7199.20000	1.16619
320	126.91490	0.02811	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
340	126.92730	0.03010	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
360	126.91205	0.02302	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
380	126.92355	0.02557	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
400	126.96128	0.04062	1.00000	0.00000	7194.80000	5.74108	7194.80000	5.74108
420	126.91718	0.03330	1.00000	0.00000	7200.00000	0.00000	7200.00000	0.00000
440	126.96815	0.04936	1.00000	0.00000	7190.00000	7.12741	7190.00000	7.12741
460	126.91786	0.04175	0.99992	0.00011	7192.20000	3.31059	5754.50000	1763.83707
480	126.92099	0.04422	0.99994	0.00011	7192.80000	6.30555	6473.60000	1438.81376
500	126.96228	0.04925	1.00000	0.00000	7188.40000	8.26075	7188.40000	8.26075
520	126.91928	0.03180	0.99994	0.00011	7178.80000	4.53431	6461.30000	1436.90590
540	126.99213	0.08272	0.99936	0.00048	7152.80000	28.19504	2591.69500	952.98473
560	126.93523	0.11767	0.99972	0.00026	7169.20000	12.15566	4424.83300	2324.78943
580	127.03388	0.30007	0.99910	0.00118	7131.80000	34.31851	3452.08300	2077.95607
600	126.84489	0.16305	0.99901	0.00046	7120.40000	28.97309	1830.84300	904.61361
620	126.96039	0.17842	0.99864	0.00170	7093.60000	49.53625	2006.03100	1290.68114
640	126.90926	0.44669	0.99428	0.00200	6857.00000	33.25658	411.75200	54.92942
660	127.20530	0.64614	0.99513	0.00135	6795.00000	62.64503	361.49300	99.17737
680	128.06949	0.94055	0.98962	0.00306	6672.40000	107.85714	246.59000	77.22245
690	127.73459	0.82171	0.98990	0.00353	6591.00000	197.16288	252.98600	101.26021
700	128.07901	1.51618	0.98660	0.00279	6451.80000	202.38518	161.11800	37.85116
710	128.76835	1.22413	0.98221	0.00310	6295.60000	113.96245	131.47100	28.13507
720	129.36188	0.97062	0.98413	0.00536	6289.30000	185.05181	127.44000	31.06913
730	128.37451	1.26533	0.98160	0.00316	6121.40000	154.70178	104.51800	23.51942
740	129.57165	2.44581	0.97746	0.00555	6020.30000	95.59790	92.12850	16.86868
750	132.44001	5.45878	0.96609	0.01016	5627.00000	175.76234	65.77100	11.36836
760	128.62328	4.25059	0.95129	0.02652	5400.30000	412.56688	58.80350	26.22735
770	126.83453	8.13496	0.93178	0.03042	4986.20000	363.32101	38.96700	9.28354
780	126.22061	4.25501	0.94957	0.00815	5000.10000	166.85110	40.16350	4.62610
790	124.21306	12.49858	0.89688	0.05569	4387.00000	336.68086	27.77400	6.08769
800	126.01434	15.99628	0.89889	0.03977	4148.70000	199.54579	26.42050	4.14635
810	94.22858	29.39145	0.57429	0.20796	3189.00000	475.30369	17.31000	5.75943
820	103.98934	22.32186	0.68055	0.12073	3465.70000	366.02390	18.87900	3.99453
830	88.53581	20.35018	0.69247	0.20551	3156.80000	432.81747	18.19900	3.94412
840	67.82540	21.77013	0.45234	0.15091	2636.20000	459.51298	14.45900	4.07727
850	63.20891	27.77837	0.46479	0.17286	2123.20000	427.54106	11.97100	3.57665
860	37.31107	5.00246	0.29499	0.04060	1706.00000	262.06433	9.01150	1.75262
870	52.64557	10.98570	0.45074	0.12067	1682.40000	404.74417	9.42600	2.97213
880	29.75946	6.91630	0.32932	0.10343	1008.40000	339.10628	5.94050	2.24793
890	27.18751	3.16127	0.31742	0.04100	963.00000	143.09996	5.85100	1.05345
900	19.69652	8.21896	0.30499	0.12235	509.40000	208.89511	3.45200	1.35224
910	16.72240	5.92710	0.24588	0.07829	521.20000	167.92308	3.69900	1.05053
920	17.94952	5.73648	0.36928	0.11621	338.20000	119.92094	3.23550	1.00808
930	9.52687	4.46713	0.22785	0.10748	189.20000	54.06071	2.11300	0.73462
940	5.92127	2.62297	0.17030	0.08284	111.00000	32.18483	1.47050	0.25707
950	8.69927	4.54259	0.28118	0.20640	130.20000	34.99943	2.08700	0.74857
960	7.02908	3.79601	0.22287	0.13136	97.40000	30.99050	1.64650	0.39179
970	4.01878	2.14864	0.12889	0.06620	66.60000	10.96540	1.26800	0.17696
980	2.22331	2.62651	0.11225	0.08866	43.50000	20.91447	1.19250	0.24104
990	0.64665	0.38668	0.05309	0.01719	35.80000	9.78570	1.04200	0.03262
1000	3.57462	5.26583	0.18784	0.21111	45.90000	34.58681	1.49600	0.84954
