T	LC	LC_std	SLC	SLC_std	Rg	Rg_std	Pspan
220	1.00000	0.00000	0.00000	0.00000	89.72800	0.01100	0.00000
240	1.00000	0.00000	0.00000	0.00000	89.73000	0.01100	0.00000
260	1.00000	0.00000	0.00000	0.00000	89.72000	0.01000	0.00000
280	1.00000	0.00000	0.00000	0.00000	89.73200	0.00800	0.00000
300	0.99989	0.00016	0.00000	0.00000	89.74000	0.01900	0.00000
320	1.00000	0.00000	0.00000	0.00000	89.74200	0.02000	0.00000
340	1.00000	0.00000	0.00000	0.00000	89.75100	0.02100	0.00000
360	1.00000	0.00000	0.00000	0.00000	89.74000	0.01600	0.00000
380	1.00000	0.00000	0.00000	0.00000	89.74900	0.01800	0.00000
400	0.99928	0.00080	0.00000	0.00000	89.77500	0.02900	0.00000
420	1.00000	0.00000	0.00000	0.00000	89.74400	0.02400	0.00000
440	0.99861	0.00099	0.00000	0.00000	89.78000	0.03500	0.00000
460	0.99883	0.00057	0.00008	0.00011	89.74400	0.03000	0.00000
480	0.99894	0.00089	0.00006	0.00011	89.74700	0.03100	0.00000
500	0.99839	0.00115	0.00000	0.00000	89.77600	0.03500	0.00000
520	0.99700	0.00068	0.00006	0.00011	89.74500	0.02200	0.00000
540	0.99281	0.00425	0.00036	0.00019	89.79700	0.05800	0.00000
560	0.99544	0.00194	0.00017	0.00014	89.75700	0.08300	0.00000
580	0.98964	0.00588	0.00047	0.00052	89.82700	0.21200	0.00000
600	0.98797	0.00440	0.00050	0.00023	89.69300	0.11500	0.00000
620	0.98389	0.00849	0.00050	0.00052	89.77500	0.12600	0.00000
640	0.94692	0.00579	0.00147	0.00092	89.73900	0.31600	0.00000
660	0.93917	0.00969	0.00069	0.00020	89.94800	0.45700	0.00000
680	0.91712	0.01622	0.00279	0.00270	90.56000	0.66550	0.00000
690	0.90625	0.02996	0.00139	0.00051	90.32200	0.58100	0.00000
700	0.88414	0.02956	0.00128	0.00040	90.56600	1.07200	0.00000
710	0.85886	0.01706	0.00203	0.00072	91.05400	0.86600	0.00000
720	0.85987	0.02940	0.00149	0.00055	91.47300	0.68650	0.00000
730	0.83461	0.02343	0.00181	0.00045	90.77500	0.89500	0.00000
740	0.81742	0.01669	0.00189	0.00109	91.62200	1.73000	0.00000
750	0.75522	0.03019	0.00314	0.00223	93.65200	3.86200	0.00000
760	0.71475	0.07301	0.00729	0.00926	90.97150	3.03000	0.00000
770	0.64583	0.05897	0.01264	0.01723	89.73600	5.68900	0.00000
780	0.65961	0.02301	0.00311	0.00183	89.25500	3.00800	0.00000
790	0.54839	0.07082	0.01331	0.01366	87.91600	8.77300	0.00000
800	0.51904	0.03928	0.01600	0.01750	89.21650	11.23800	0.10000
810	0.26714	0.13107	0.08636	0.04880	70.91800	19.29700	0.00000
820	0.33349	0.08369	0.06925	0.04554	75.44450	15.12250	0.00000
830	0.31328	0.11662	0.05536	0.04285	64.66500	12.88000	0.00000
840	0.18310	0.09171	0.06443	0.03520	52.24900	15.32900	0.00000
850	0.14369	0.08130	0.06267	0.00690	47.53100	19.16200	0.00000
860	0.06971	0.01366	0.04101	0.01187	29.46550	3.88800	0.00000
870	0.10153	0.02743	0.04078	0.02240	39.30000	8.52300	0.00000
880	0.04466	0.01713	0.02311	0.00979	23.38200	4.83100	0.00000
890	0.04261	0.00964	0.02803	0.00887	20.80500	2.29300	0.00000
900	0.02424	0.01697	0.01251	0.01028	15.15850	5.85700	0.00000
910	0.01947	0.01282	0.00961	0.00579	12.75200	4.33600	0.00000
920	0.01920	0.01040	0.00581	0.00370	13.48550	3.86850	0.00000
930	0.00672	0.00413	0.00281	0.00248	7.55700	3.19200	0.00000
940	0.00288	0.00158	0.00121	0.00087	4.99150	1.78000	0.00000
950	0.00589	0.00535	0.00136	0.00054	6.90700	2.85800	0.00000
960	0.00334	0.00258	0.00114	0.00089	5.61850	2.47500	0.00000
970	0.00119	0.00062	0.00058	0.00048	4.02800	1.58300	0.00000
980	0.00097	0.00127	0.00032	0.00022	2.10900	1.95900	0.00000
990	0.00025	0.00006	0.00019	0.00007	1.04000	0.52200	0.00000
1000	0.00222	0.00355	0.00030	0.00024	2.86150	3.65850	0.00000
