610 0.00128 0.00045 0.00057 0.00022
630 0.00110 0.00038 0.00073 0.00028
650 0.00123 0.00042 0.00086 0.00037
670 0.00169 0.00059 0.00117 0.00060
690 0.00194 0.00075 0.00147 0.00040
710 0.00361 0.00167 0.00163 0.00066
750 0.00871 0.00373 0.00561 0.00277
770 0.01794 0.00507 0.00524 0.00259
790 0.03917 0.00000 0.00550 0.00000
815 0.08565 0.02089 0.00368 0.00223
820 0.12643 0.02262 0.00407 0.00253
835 0.14969 0.01335 0.00227 0.00100
840 0.17920 0.01928 0.00255 0.00222
855 0.30640 0.02646 0.00070 0.00039
860 0.32581 0.04103 0.00044 0.00012
875 0.45185 0.03119 0.00044 0.00010
880 0.52797 0.03541 0.00035 0.00021
895 0.66331 0.02818 0.00015 0.00005
900 0.74443 0.07682 0.00011 0.00012
910 0.82317 0.07156 0.00000 0.00000
920 0.93983 0.01270 0.00000 0.00000
